ID,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,Quaternion w,Quaternion x,Quaternion y,Quaternion z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Time,Battery
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.008789,0.9478,-0.2412,0.1888,0.08774,-0.07248,-1.5,-37.2,14.55,0.073412,0.08509,-0.7867,-0.6071,-1307122701,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.001953,0.9849,-0.1519,0.01907,-0.1087,0.003815,0.50957,0.59646,0.47231,0.40188,0.003891,-0.002625,0.005829,-1306832688,68
6,0.0127,0.9653,-0.2012,-0.08202,0.1106,-0.0515,0.1745,0.22689,0.7405,0.60806,-0.004791,-0.01437,-0.001541,-1306440984,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.008301,0.9517,-0.1812,0.2804,-0.0782,-0.1736,0.50678,0.60688,0.46966,0.39279,0.007584,-0.03241,-0.003372,-1306540646,126
9,0.007813,0.9912,-0.125,-0.06104,-0.2613,0.01144,0.44942,0.51606,0.54567,0.48368,-0.0009308,-0.0005035,0.003159,-1307098854,70
10,-0.0127,0.9634,-0.2168,0.1793,0.185,0.2747,0.59986,0.74721,0.22752,0.17344,0.001083,-0.01198,0.003387,-1307170806,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-0.01025,0.9731,-0.1616,0.1698,0.09346,0.01144,7.65,-33.75,-2.1,0.60767,0.719,0.2576,0.2179,-1306815552,98
13,-0.01221,0.05176,1.012,0.3681,-0.206,-0.2098,0.88837,0.019935,0.016695,0.45839,-0.0008087,0.001038,0.01308,43939553,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.008789,0.9546,-0.2471,0.005722,0.3319,0.2327,-1.35,-39.3,16.05,0.073851,0.08574,-0.7867,-0.6069,-1306982722,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.002441,0.9839,-0.146,-0.2251,0.01335,-0.2403,0.50956,0.59646,0.47231,0.40188,0.004364,-0.003586,0.0117,-1306794438,68
6,0.02295,0.9775,-0.207,-0.02098,-0.07248,-0.1125,0.17423,0.2266,0.74063,0.60808,0.005447,-0.002136,-0.007278,-1306388297,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.004395,0.9595,-0.1738,0.1583,0.04387,0.009537,0.50667,0.6068,0.46978,0.39292,0.003601,-0.02458,0.003983,-1306500575,126
9,0.01465,0.9878,-0.1279,-0.1831,0.1659,0.07248,0.44952,0.51609,0.54561,0.48363,0.005981,-0.003922,0.0001678,-1307079354,70
